,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Temperature (F),Wind Speed (mph)
39,Tilichiki,RU,1578326985,60.47,166.1,100,96,-1.46,7.67
40,Kapit,MY,1578326987,2.02,112.94,100,97,73.96,1.41
41,Upernavik,GL,1578326988,72.79,-56.15,100,99,-15.23,12.82
42,Hamilton,CA,1578326710,43.26,-79.87,75,64,37.0,20.8
43,Hofn,IS,1578326816,64.25,-15.21,75,80,41.0,17.22
44,Magway,MM,1578326992,20.15,94.92,0,79,65.53,5.23
45,Waipawa,NZ,1578326994,-39.94,176.59,41,74,52.0,14.0
46,Qaanaaq,GL,1578326994,77.48,-69.36,88,55,-13.4,5.82
47,Narsaq,GL,1578326996,60.91,-46.05,20,34,5.0,11.41
48,Yurimaguas,PE,1578326998,-5.9,-76.1,40,100,48.2,8.05
49,Boende,CD,1578326999,-0.28,20.88,67,39,91.51,5.21
50,Ushuaia,AR,1578326742,-54.81,-68.31,75,71,50.0,9.17
51,Mahebourg,MU,1578327001,-20.41,57.7,40,83,82.4,2.24
52,Sioux Lookout,CA,1578327002,50.1,-91.92,20,84,6.8,6.93
53,Chipoka,MW,1578327003,-13.99,34.52,27,74,80.37,2.77
54,Castro,CL,1578327005,-42.48,-73.76,75,76,55.4,8.05
55,Mount Isa,AU,1578326869,-20.73,139.49,67,54,80.6,6.93
56,Muros,ES,1578327007,42.77,-9.06,75,87,57.0,4.7
57,Somerset East,ZA,1578327009,-32.72,25.59,58,65,72.7,17.09
58,Shingu,JP,1578326893,33.72,135.99,2,56,47.97,5.84
59,Chippewa Falls,US,1578327011,44.94,-91.39,1,68,27.0,6.93
60,Gushikawa,JP,1578327012,26.35,127.87,40,68,68.0,3.36
61,Atuona,PF,1578327005,-9.8,-139.03,91,73,79.66,14.81
62,Vestmannaeyjar,IS,1578327015,63.44,-20.27,40,80,39.2,31.09
63,Pangnirtung,CA,1578326818,66.15,-65.72,90,54,-25.6,5.82
64,Mbandaka,CD,1578327018,0.05,18.26,84,33,93.78,1.52
65,Vaini,IN,1578327021,15.34,74.49,40,78,70.57,5.03
66,Katangli,RU,1578327022,51.71,143.23,93,96,8.42,6.26
67,Yulara,AU,1578326900,-25.24,130.99,90,47,80.6,10.29
68,Kota Kinabalu,MY,1578327024,5.98,116.07,75,83,80.6,3.36
69,Mayo,CA,1578326750,63.59,-135.9,5,65,-34.6,2.42
70,Coihaique,CL,1578327027,-45.58,-72.07,90,62,55.4,5.82
71,Santa Rosa,AR,1578327028,-36.62,-64.29,0,19,74.64,22.12
72,Tuktoyaktuk,CA,1578327007,69.44,-133.03,40,74,-22.0,8.05
73,Tasiilaq,GL,1578327018,65.61,-37.64,97,84,17.94,36.62
74,Kenai,US,1578326736,60.55,-151.26,90,84,1.0,3.36
75,Paramirim,BR,1578327033,-13.44,-42.24,62,69,77.74,3.2
76,Hilo,US,1578327034,19.71,-155.08,75,61,78.8,9.31
77,Tiksi,RU,1578326999,71.64,128.87,83,85,-8.79,6.4
78,Khorramshahr,IR,1578327037,30.43,48.18,0,59,62.6,2.24
79,Utmanzai,PK,1578327039,34.19,71.76,90,93,44.6,4.7
80,Port Alfred,ZA,1578327040,-33.59,26.89,90,93,71.01,3.0
81,Cockburn Town,TC,1578327028,21.46,-71.14,75,88,73.4,5.82
82,Finspang,SE,1578326982,58.71,15.77,100,100,44.6,8.05
83,Butaritari,KI,1578326993,3.07,172.79,100,80,84.06,15.66
84,Preobrazheniye,RU,1578326898,42.9,133.91,100,60,24.15,3.31
85,Kruisfontein,ZA,1578327046,-34.0,24.73,100,84,65.82,8.77
86,Lebu,ET,1578327014,8.96,38.73,20,59,62.6,13.87
87,Krasnooktyabrskiy,RU,1578327049,44.93,38.37,96,86,42.01,6.71
88,Matongo,BI,1578327050,-3.07,29.61,100,90,66.56,3.31
89,Dutse,NG,1578327052,11.76,9.34,100,18,84.36,9.51
90,Yichang,CN,1578327053,30.77,111.32,100,95,37.78,4.32
91,Marzuq,YE,1578327055,14.4,46.47,0,25,74.34,9.62
92,Mar del Plata,AR,1578326817,-46.43,-67.52,47,33,65.91,9.55
93,Elko,US,1578327057,40.83,-115.76,1,79,23.0,2.84
94,Utete,TZ,1578327058,-7.99,38.76,76,81,82.31,6.31
95,Barrow,AR,1578326821,-38.31,-60.23,0,44,69.91,21.32
96,Ingraj Bazar,IN,1578327061,25.0,88.15,0,48,61.61,5.73
97,Vestmanna,FO,1578327062,62.16,-7.17,98,70,46.4,17.22
98,Nikolskoye,RU,1578326994,59.7,30.79,90,86,33.8,8.95
99,Dikson,RU,1578327066,73.51,80.55,100,94,15.06,14.38
100,Kailua,US,1578327067,21.39,-157.74,75,69,77.0,14.99
101,Machico,PT,1578327069,32.7,-16.77,40,59,66.2,12.75
102,Comodoro Rivadavia,AR,1578326983,-45.87,-67.48,40,52,64.4,5.82
103,Guerrero Negro,MX,1578327071,27.97,-114.04,0,62,55.6,2.06
104,Lavrentiya,RU,1578327073,65.58,-170.99,100,77,-7.78,1.9
105,Hami,CN,1578327074,42.84,93.51,37,49,19.92,0.69
106,Inhambane,MZ,1578327075,-23.87,35.38,75,66,86.0,11.41
107,Jamestown,AU,1578326804,-33.21,138.6,0,60,66.34,4.54
108,Temir,KZ,1578327078,49.14,57.13,96,95,20.14,8.14
109,Yumen,CN,1578327080,40.29,97.04,100,52,20.57,13.91
110,Kaitangata,NZ,1578327081,-46.28,169.85,100,84,51.01,7.0
111,Yellowknife,CA,1578327082,62.45,-114.38,20,67,-27.4,5.82
112,Chuy,UY,1578326995,-33.69,-53.46,13,39,88.39,13.27
113,Port-Gentil,GA,1578327085,-0.72,8.78,40,79,86.0,10.29
114,Constitucion,MX,1578327068,23.99,-104.67,40,56,48.0,0.81
115,Luderitz,NA,1578327087,-26.65,15.16,57,64,75.2,28.86
116,The Pas,CA,1578327088,53.82,-101.24,75,84,1.4,4.7
117,Gamba,CN,1578327090,28.28,88.52,100,27,17.04,3.09
118,Kavieng,PG,1578327091,-2.57,150.8,18,75,84.83,12.48
119,Capoterra,IT,1578327093,39.18,8.97,0,58,59.0,8.05
120,Wenling,CN,1578327094,28.38,121.38,85,91,66.0,14.0
121,Ostrovnoy,RU,1578326838,68.05,39.51,100,92,17.98,14.5
122,La Primavera,AR,1578327096,-32.92,-68.67,65,15,73.4,9.17
123,Kununurra,AU,1578327097,-15.77,128.74,40,94,78.8,4.7
124,Salta,AR,1578327098,-24.79,-65.41,20,50,84.2,10.29
125,Thompson,CA,1578327099,55.74,-97.86,90,83,-4.0,0.72
126,Berlevag,NO,1578327100,70.86,29.09,20,92,21.2,19.46
127,Pawa,IN,1578327102,30.85,75.95,100,95,50.9,6.33
128,Madinat Sittah Uktubar,EG,1578327103,29.82,31.05,75,51,59.0,14.99
129,Yoichi,JP,1578327104,43.19,140.77,98,97,30.99,4.63
130,Madison,US,1578327057,43.07,-89.38,20,52,34.0,6.93
131,Busselton,AU,1578327106,-33.64,115.35,0,25,68.0,12.37
132,New Norfolk,AU,1578327108,-42.78,147.06,100,82,59.0,5.82
133,Fort Saint James,CA,1578327109,54.43,-124.25,69,92,6.51,1.95
134,Najran,SA,1578327111,17.54,44.22,75,52,68.0,4.7
135,Camocim,BR,1578326857,-2.9,-40.84,29,61,87.8,8.81
136,Bluff,AU,1578327114,-23.58,149.07,96,70,75.94,12.64
137,Sur,OM,1578326880,22.57,59.53,0,62,74.5,5.3
138,Cidreira,BR,1578327117,-30.17,-50.22,0,84,75.13,14.85
139,Alto Araguaia,BR,1578327118,-17.32,-53.22,92,76,77.49,9.6
140,Bedford,US,1578327119,32.84,-97.14,75,53,53.01,4.7
141,Tautira,PF,1578327001,-17.73,-149.15,27,88,77.0,4.7
142,Saint-Leu,RE,1578327123,-21.15,55.28,90,78,80.6,2.24
143,Serdobsk,RU,1578327124,52.46,44.21,99,95,21.15,5.82
144,Nuuk,GL,1578327105,64.17,-51.74,90,84,-0.4,11.41
145,Arraial do Cabo,BR,1578327127,-22.97,-42.02,40,74,89.6,13.87
146,Prainha,BR,1578327128,-1.8,-53.48,98,50,90.32,5.77
147,Kodiak,US,1578327129,39.95,-94.76,1,80,34.0,5.82
148,Podor,MR,1578327131,16.65,-14.96,35,12,82.4,9.17
149,Carutapera,BR,1578327075,-1.2,-46.02,21,81,81.36,12.82
150,Airai,TL,1578327133,-8.93,125.41,100,78,69.98,4.38
151,San Isidro,CR,1578327134,10.02,-84.06,12,47,82.4,19.46
152,Pangody,RU,1578327136,65.85,74.49,60,93,6.53,12.19
153,Tiznit,MA,1578327137,29.7,-9.73,0,45,57.72,5.64
154,Yangambi,CD,1578327138,0.77,24.47,97,51,87.17,2.73
155,Waingapu,ID,1578327139,-9.65,120.26,100,76,83.82,19.6
156,Ketchikan,US,1578327080,55.34,-131.65,75,92,30.2,4.7
157,Vao,EE,1578326862,59.1,26.19,100,98,35.67,6.46
158,Tuatapere,NZ,1578327042,-46.13,167.69,100,93,48.99,7.0
159,Kuryk,KZ,1578327144,43.18,51.68,18,58,41.9,10.4
160,San Patricio,PY,1578327146,-26.98,-56.83,34,21,100.31,4.97
161,Khandyga,RU,1578327147,62.65,135.58,100,98,-1.75,1.77
162,Micomeseng,GQ,1578327148,2.15,10.62,64,63,83.52,6.4
163,San Carlos del Zulia,VE,1578327149,9.0,-71.91,66,64,83.07,3.69
164,Chokurdakh,RU,1578327150,70.62,147.9,0,99,-19.84,2.46
165,Itarema,BR,1578327151,-2.92,-39.92,51,50,90.5,12.66
166,Brewster,US,1578327153,41.76,-70.08,90,47,36.0,3.36
167,Clyde River,CA,1578327037,70.47,-68.59,75,66,-31.0,18.34
168,Barranca,PE,1578327155,-10.75,-77.76,1,90,69.75,14.9
169,Daraitan,PH,1578327156,14.6,121.43,20,69,80.6,4.7
170,Banyo,CM,1578327158,6.75,11.81,0,17,92.32,3.98
171,Lompoc,US,1578327159,34.64,-120.46,1,86,57.2,10.92
172,Los Llanos de Aridane,ES,1578326887,28.66,-17.92,75,68,66.2,9.17
173,Saint-Joseph,FR,1578327161,43.56,6.97,90,76,57.2,3.36
174,East London,ZA,1578327162,-33.02,27.91,40,73,75.2,10.29
175,Port Elizabeth,US,1578327164,39.31,-74.98,90,49,48.99,9.17
176,Grimshaw,CA,1578326954,56.19,-117.61,20,75,0.0,3.36
177,Mirskoy,RU,1578327166,45.54,40.4,96,54,41.0,5.48
178,Sept-Iles,CA,1578326971,50.2,-66.38,20,46,6.8,6.91
179,Victoria,BN,1578327169,5.28,115.24,75,78,82.4,11.41
180,Dareda,TZ,1578327170,-4.22,35.56,80,83,66.04,1.97
181,Mackay,CA,1578327171,53.65,-115.58,75,92,15.8,8.05
182,Autazes,BR,1578327172,-3.58,-59.13,11,50,91.0,5.41
183,Teguise,ES,1578327089,29.06,-13.56,40,49,69.8,12.75
184,Bangarmau,IN,1578327174,26.89,80.22,75,87,60.8,2.24
185,Cherskiy,RU,1578327175,68.75,161.3,0,65,-13.7,5.28
186,Ambilobe,MG,1578327177,-13.19,49.05,100,82,81.03,3.36
187,Taoudenni,ML,1578327178,22.68,-3.98,97,9,72.55,5.95
188,Vila Franca do Campo,PT,1578327179,37.72,-25.43,75,88,66.2,13.87
189,Omboue,GA,1578327181,-1.57,9.26,100,73,84.92,5.68
190,Luganville,VU,1578326901,-15.51,167.18,90,94,78.8,11.41
191,Bredasdorp,ZA,1578326994,-34.53,20.04,100,52,69.8,8.05
192,Codrington,AU,1578327186,-28.95,153.24,90,83,72.0,2.08
193,Ponta do Sol,BR,1578327187,-20.63,-46.0,63,73,78.08,5.48
194,Qingdao,CN,1578327188,36.09,120.35,90,100,43.0,11.18
195,Shelburne,CA,1578327189,44.08,-80.2,90,78,34.0,5.82
196,Saldanha,PT,1578327190,41.42,-6.55,100,60,47.71,3.2
197,Erenhot,CN,1578327191,43.65,111.97,0,87,11.84,2.06
198,Talnakh,RU,1578326902,69.49,88.39,40,84,8.6,22.37
199,Colac,AU,1578327194,-38.34,143.59,4,96,60.01,4.0
200,Olinda,AU,1578327195,-37.84,145.39,90,87,63.0,9.17
201,Mount Gambier,AU,1578327075,-37.83,140.78,0,93,50.0,5.82
202,Hastings,NZ,1578327197,-39.64,176.84,62,58,57.99,15.79
203,Amparafaravola,MG,1578327198,-17.68,48.22,100,83,72.27,8.59
204,Klaksvik,FO,1578327200,62.23,-6.59,100,70,46.4,17.22
205,Porto Novo,BR,1578327201,-23.68,-45.44,40,45,87.8,4.7
206,Saint George,GR,1578327202,39.45,22.34,40,39,46.0,12.75
207,Isangel,VU,1578327204,-19.55,169.27,97,78,77.0,8.05
208,Jardim,BR,1578327004,-21.48,-56.15,0,41,94.03,9.15
209,Mitsamiouli,KM,1578327206,-11.38,43.28,20,74,86.0,4.7
210,Mamallapuram,IN,1578327207,12.63,80.17,75,78,82.0,8.05
211,Santa Cruz,BR,1578327209,-6.22,-36.02,100,32,94.37,7.34
212,Severo-Kurilsk,RU,1578327210,50.68,156.12,100,90,25.79,32.35
213,Tygda,RU,1578327211,53.11,126.33,95,98,-11.81,2.62
214,Auki,NG,1578327212,12.18,6.51,99,17,87.6,9.33
215,Xapuri,BR,1578327213,-10.65,-68.5,75,74,86.0,14.99
216,Cedar City,US,1578327215,37.68,-113.06,1,85,21.2,7.07
217,Foz,ES,1578327216,43.57,-7.26,99,47,55.0,8.01
218,Nanortalik,GL,1578327218,60.14,-45.24,0,74,12.85,44.25
219,Olga,US,1578327219,34.11,-118.17,1,53,66.2,3.09
220,Zyryanka,RU,1578327221,65.73,150.89,0,92,-17.91,2.15
221,Aklavik,CA,1578326986,68.22,-135.01,40,74,-25.6,4.7
222,Puerto Narino,CO,1578327224,-3.77,-70.38,10,59,89.6,8.05
223,Zmeinogorsk,RU,1578327225,51.15,82.2,2,81,7.0,0.89
224,Lakes Entrance,AU,1578327226,-37.88,147.99,100,95,59.0,6.87
225,Te Anau,NZ,1578327227,-45.41,167.72,100,84,45.14,5.14
226,Sangar,RU,1578327229,63.92,127.47,100,91,-2.61,9.64
227,Qaqortoq,GL,1578327230,60.72,-46.03,20,31,3.2,2.24
228,Labuhan,ID,1578327231,-2.54,115.51,100,93,75.33,2.15
229,Esperance,AU,1578327233,-33.86,121.89,0,77,66.2,6.93
230,Praia,BR,1578327234,-20.25,-43.81,75,42,82.4,8.05
231,Beringovskiy,RU,1578327235,63.05,179.32,0,83,-9.78,13.24
232,Khatanga,RU,1578327237,71.98,102.47,88,86,7.81,13.33
233,Kloulklubed,PW,1578327173,7.04,134.26,90,88,77.0,6.93
234,Lagoa,PT,1578326967,37.14,-8.45,0,59,64.99,9.17
235,Srednekolymsk,RU,1578327105,67.46,153.71,51,93,-16.58,3.71
236,Grindavik,IS,1578327051,63.84,-22.43,75,86,37.4,29.97
237,Chanthaburi,TH,1578327244,12.61,102.11,0,60,81.0,3.67
238,Touros,BR,1578327065,-5.2,-35.46,40,58,86.0,11.41
239,Tual,ID,1578327247,-5.67,132.75,100,78,83.05,9.75
240,Phan Thiet,VN,1578327248,10.93,108.1,33,86,70.83,1.92
241,Darnah,LY,1578327249,32.77,22.64,100,68,54.73,28.01
242,Souillac,FR,1578327250,45.6,-0.6,90,93,42.8,5.82
243,Brovst,DK,1578327252,57.1,9.52,100,93,45.0,5.99
244,Alur,IN,1578327253,17.7,76.43,100,59,76.95,5.68
245,Saint-Francois,FR,1578327254,46.42,3.91,0,70,45.0,4.7
246,Komatipoort,MZ,1578327255,-25.43,31.96,0,61,89.01,14.92
247,Torbay,CA,1578326968,47.66,-52.73,90,86,30.2,24.16
248,Oxelosund,SE,1578327257,58.67,17.1,75,100,44.6,9.17
249,Pevek,RU,1578327259,69.7,170.27,0,79,-8.97,4.88
250,Marrakesh,MA,1578327260,31.63,-7.99,75,55,62.6,5.82
251,Bereslavka,RU,1578327261,48.62,44.06,90,93,35.6,8.95
252,Kambia,SL,1578327262,9.13,-12.92,44,61,82.4,4.7
253,Kabanjahe,ID,1578327263,3.1,98.49,20,94,77.0,3.36
254,Ulaanbaatar,MN,1578327215,47.92,106.92,0,75,-16.6,2.24
255,Abilene,US,1578326991,32.45,-99.73,1,56,51.01,3.36
256,Leningradskiy,RU,1578327267,69.38,178.42,0,73,-7.8,6.6
257,Sibolga,ID,1578327268,1.74,98.78,94,95,72.39,2.66
258,Lokosovo,RU,1578327269,61.13,74.84,100,92,22.78,7.72
259,Bugulma,RU,1578327272,54.54,52.8,100,98,21.4,2.91
260,Baykit,RU,1578327273,61.68,96.39,97,95,10.92,4.38
261,Geraldton,CA,1578327274,49.72,-86.95,90,71,8.6,9.17
262,Pisco,PE,1578327275,-13.71,-76.2,57,30,72.0,8.05
263,Bolobo,CD,1578327276,-2.17,16.23,48,39,92.19,5.08
264,Pfarrkirchen,DE,1578327278,48.43,12.94,0,94,35.01,2.59
265,Adrar,DZ,1578327279,27.87,-0.29,0,17,66.2,19.46
266,Upata,VE,1578327280,8.02,-62.41,0,47,83.8,5.32
267,Galati,RO,1578327282,45.45,28.05,100,80,36.0,16.11
268,Vanimo,PG,1578327283,-2.67,141.3,83,82,82.83,10.96
269,Deputatskiy,RU,1578327125,69.3,139.9,63,77,-17.21,0.76
270,Cayenne,GF,1578327096,4.94,-52.33,20,62,86.0,11.41
271,Konya,TR,1578327286,37.87,32.48,75,100,33.8,6.93
272,Kazanskaya,RU,1578327287,45.41,40.44,96,54,41.0,5.48
273,Henties Bay,NA,1578327289,-22.12,14.28,5,87,64.99,1.01
274,Bethel,US,1578327291,60.79,-161.76,1,68,-16.6,9.17
275,Merauke,ID,1578327293,-8.49,140.4,83,95,75.78,4.38
276,Cabo San Lucas,MX,1578327288,22.89,-109.91,40,59,71.01,5.82
277,Namatanai,PG,1578327036,-3.66,152.44,39,77,83.91,5.53
278,Westport,US,1578327104,41.14,-73.36,90,74,39.99,10.29
279,Port Macquarie,AU,1578327014,-31.43,152.91,75,94,73.0,3.36
280,Tsubata,JP,1578327299,36.67,136.73,40,60,37.99,1.12
281,Ishigaki,JP,1578327069,24.34,124.16,94,73,71.78,16.71
282,Kiknur,RU,1578327302,57.3,47.21,0,95,13.42,1.72
283,Lakeside,US,1578327082,32.86,-116.92,1,54,62.01,5.82
284,Atherton,AU,1578327076,-17.27,145.48,40,83,79.0,6.93
285,Hualmay,PE,1578327305,-11.1,-77.61,38,56,78.15,8.79
286,Martil,MA,1578327307,35.62,-5.28,20,72,62.6,14.99
287,Farrukhnagar,IN,1578327308,28.45,76.82,75,82,57.2,8.05
288,Gwadar,PK,1578327309,25.12,62.33,100,71,74.26,11.81
289,Pionerskiy,RU,1578327310,61.2,62.86,12,90,13.21,7.25
290,Nantucket,US,1578327105,41.28,-70.1,90,64,36.0,9.17
291,Patti,IN,1578327313,31.28,74.86,75,87,50.0,3.36
292,Praia da Vitoria,PT,1578327314,38.73,-27.07,20,72,66.2,20.49
293,Provideniya,RU,1578327315,64.42,-173.23,100,84,-9.36,4.54
294,Kahului,US,1578327129,20.89,-156.47,1,69,73.4,9.17
295,La Ronge,CA,1578327319,55.1,-105.3,90,78,15.8,26.4
296,Morondava,MG,1578327320,-20.3,44.28,6,60,87.28,7.7
297,Ayagoz,KZ,1578327321,47.96,80.43,0,82,4.64,5.41
298,Nandigama,IN,1578327322,16.78,80.29,75,83,78.8,3.36
299,Severodvinsk,RU,1578327323,64.56,39.82,90,92,21.2,4.47
300,Palana,RU,1578327325,59.08,159.95,0,76,3.47,3.6
301,Lengshuitan,CN,1578327326,26.41,111.6,4,79,65.01,5.5
302,Bandrele,YT,1578327327,-12.91,45.19,20,79,84.2,8.05
303,Komsomolskiy,RU,1578327328,67.55,63.78,100,93,9.64,19.46
304,Fenoarivo,MG,1578327329,-18.93,47.44,40,69,73.4,11.41
305,Moron,HT,1578327331,18.56,-74.26,0,63,80.51,11.34
306,Carnarvon,ZA,1578327332,-30.97,22.13,89,11,87.98,21.03
307,Aksarka,RU,1578327333,66.56,67.8,3,88,5.52,13.27
308,Antofagasta,CL,1578327334,-23.65,-70.4,75,42,80.6,11.41
309,Champerico,MX,1578327336,16.38,-93.6,90,68,68.0,2.24
310,Jawhar,IN,1578327337,19.91,73.23,0,75,70.29,4.05
311,Kurilsk,RU,1578327338,45.23,147.88,66,84,28.69,36.28
312,Nome,US,1578327340,30.04,-94.42,1,82,68.0,5.82
313,Lasa,CY,1578327341,34.92,32.53,75,72,60.8,24.16
314,Raudeberg,NO,1578327342,61.99,5.14,75,81,52.0,40.26
315,Pudozh,RU,1578327344,61.81,36.54,100,95,25.02,8.41
316,Saint-Philippe,CA,1578327345,45.36,-73.48,90,78,24.8,10.29
317,Laguna,BZ,1578327085,16.17,-88.94,90,78,71.6,4.7
318,Port Keats,AU,1578327348,-14.25,129.55,100,77,81.79,5.19
319,Springhill,CA,1578327349,45.64,-64.06,41,75,25.0,1.99
320,Phulabani,IN,1578327350,20.47,84.23,0,68,60.12,2.82
321,Srikakulam,IN,1578327118,18.29,83.89,0,74,66.83,6.15
322,Youghal,IE,1578327353,51.95,-7.85,40,81,51.01,11.41
323,Sikonge,TZ,1578327354,-5.63,32.75,75,73,75.2,11.41
324,Yeysk,RU,1578327355,46.71,38.27,96,78,39.09,9.53
325,Alekseyevsk,RU,1578327356,57.84,108.35,99,93,15.49,9.73
326,Prince Rupert,CA,1578327184,54.32,-130.32,90,76,32.0,3.36
327,Mabaruma,GY,1578327359,8.2,-59.78,0,52,86.5,3.0
328,Langsa,ID,1578327361,4.47,97.97,19,84,74.01,3.71
329,Durban,CA,1578327362,51.93,-101.44,1,86,16.7,13.87
330,Paamiut,GL,1578327363,61.99,-49.67,100,83,4.62,13.96
331,Bagotville,AU,1578327364,-28.98,153.42,75,94,72.0,1.12
332,Santa Cruz de Tenerife,ES,1578327128,28.47,-16.25,75,82,71.6,21.92
333,Aswan,EG,1578327366,24.09,32.9,0,26,60.8,4.7
334,Virden,CA,1578327368,49.85,-100.93,0,84,17.64,8.43
335,Faanui,PF,1578327369,-16.48,-151.75,6,80,81.09,13.58
336,Belyy Yar,RU,1578327371,53.6,91.39,96,92,5.0,1.54
337,Bemidji,US,1578327375,47.48,-94.89,1,92,21.0,3.36
338,Atbasar,KZ,1578327376,51.81,68.36,17,95,11.64,3.6
339,Evensk,RU,1578327377,61.92,159.24,0,47,-6.83,3.91
340,Awjilah,LY,1578327378,29.14,21.3,97,42,57.45,22.01
341,Evanston,US,1578327283,42.04,-87.69,20,63,35.01,11.41
342,Inirida,CO,1578327381,3.87,-67.92,30,48,88.74,1.81
343,Kudahuvadhoo,MV,1578327383,2.67,72.89,27,78,83.05,14.12
344,Fritzlar,DE,1578327384,51.13,9.27,20,91,37.4,6.93
345,Champasak,LA,1578327250,14.89,105.88,0,63,70.9,1.86
346,Wajima,JP,1578327387,37.4,136.9,34,55,45.86,7.83
347,Iquique,CL,1578327388,-20.22,-70.14,0,57,77.0,6.93
348,Khromtau,KZ,1578327389,50.26,58.44,97,94,19.71,8.39
349,Candolim,IN,1578327390,15.52,73.76,36,83,80.6,5.82
350,Arkhipo-Osipovka,RU,1578327392,44.37,38.53,100,73,38.88,4.92
351,Ugoofaaru,MV,1578327394,5.67,73.0,47,77,82.33,19.17
352,San Andres,PH,1578327395,13.32,122.68,48,88,75.25,10.42
353,Barinas,VE,1578327396,8.64,-70.23,24,49,83.53,4.14
354,Sinop,TR,1578327397,42.03,35.15,100,66,47.3,13.51
355,Berdsk,RU,1578327399,54.76,83.11,90,85,17.6,11.18
356,West Wendover,US,1578327400,40.74,-114.07,1,79,26.6,4.7
357,Tocopilla,CL,1578327401,-22.09,-70.2,0,38,71.13,13.42
358,Sadiqabad,PK,1578327402,28.31,70.13,99,81,52.99,10.22
359,Lingao,CN,1578327403,19.91,109.69,0,86,72.0,17.07
360,Sao Joao da Barra,BR,1578327404,-21.64,-41.05,40,55,91.4,9.89
361,Magadan,RU,1578327406,59.56,150.8,0,66,7.65,7.4
362,Ulcinj,ME,1578327293,41.93,19.22,0,30,44.6,18.34
363,Saint Anthony,US,1578327129,43.97,-111.68,90,85,24.8,12.75
364,Rawson,AR,1578327409,-43.3,-65.11,23,60,58.62,23.13
365,Bundaberg,AU,1578327143,-24.87,152.35,40,83,75.99,5.82
366,Muborak,UZ,1578327411,39.25,65.15,0,41,39.27,4.83
367,Jaumave,MX,1578327412,23.41,-99.38,5,52,66.2,14.99
368,Xuzhou,CN,1578327413,34.27,117.18,100,97,42.08,6.87
369,Campoverde,EC,1578327414,-0.91,-78.62,40,48,66.2,9.17
370,Moche,PE,1578327416,-8.17,-79.01,40,88,69.8,12.75
371,Xining,CN,1578327417,36.62,101.77,100,87,17.94,5.06
372,Sisimiut,GL,1578327418,66.94,-53.67,100,95,-13.65,5.7
